Time 	 VoltageL1 	 VoltageL2 	 VoltageL3 	 VoltageR1 	 VoltageR2 	 VoltageR3 	 CurrentL1 	 CurrentL2 	 CurrentL3 	 CurrentR1 	 CurrentR2 	 CurrentR3 	 Gyrot SPI Gyro Angle 	 SPI Gyro Rate 	 Analog Gyro Angle 	 Analog Gyro Rate 	 Left Encoder Position 	 Left Encoder Rate 	 Right Encoder Position 	 Right Encoder Rate 	 Lift Voltage 	 Lift Current 	 Lift Position 	 Lift Rate
8.671272	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	0.875	0.5	0.0068981230494393	0.015483690263603163	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
8.748855	0.0	0.0	0.0	0.0	0.0	0.0	0.625	1.875	0.625	0.125	0.875	0.5	0.007973946065487214	0.01309950471672816	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.125	0.0	0.0
8.845368	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	0.875	0.5	2.1084608723478677	0.010204422266951375	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.125	0.0	0.0
8.946128	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	0.875	0.5	5.622521729166035	0.010374721234585304	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
9.04605	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	0.875	0.5	9.136711143451528	0.014632195425433519	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.125	0.0	0.0
9.145653	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	12.650934388649478	0.010885618137487089	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.125	0.0	0.0
9.246069	0.0	0.0	0.0	0.0	0.0	0.0	0.625	1.875	0.625	0.125	0.875	0.5	16.86814707919232	0.011396515040388877	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.125	0.0	0.0
9.346538	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	20.38251918040507	0.011566814008022805	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.125	0.0	0.0
9.511518	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	26.005514542345463	0.012248009878558518	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.125	0.0	0.0
9.611199	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	0.875	0.5	29.519832514098283	0.01309950471672816	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
9.710928	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	0.875	0.5	33.03427566022718	0.011566814008022805	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.125	0.0	0.0
9.811064	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	0.875	0.5	36.54861393052748	0.01344010265199602	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
9.910436	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	0.875	0.5	40.063026628835175	0.012758906781460303	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.125	0.0	0.0
