Time 	 VoltageL1 	 VoltageL2 	 VoltageL3 	 VoltageR1 	 VoltageR2 	 VoltageR3 	 CurrentL1 	 CurrentL2 	 CurrentL3 	 CurrentR1 	 CurrentR2 	 CurrentR3 	 Gyrot SPI Gyro Angle 	 SPI Gyro Rate 	 Analog Gyro Angle 	 Analog Gyro Rate 	 Left Encoder Position 	 Left Encoder Rate 	 Right Encoder Position 	 Right Encoder Rate 	 Lift Voltage 	 Lift Current
8.6052	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.125	0.875	0.5	1.0	0.125	N/A	N/A	0.9440618000000022	1.55	0.0	0.0	0.0	0.0	0.0	1.25
8.646276	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.125	0.875	0.5	1.0	0.125	N/A	N/A	1.0048183750000015	1.75	0.0	0.0	0.0	0.0	0.0	1.25
8.71991	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.125	0.875	0.5	1.0	0.125	N/A	N/A	1.1217952500000021	1.525	0.0	0.0	0.0	0.0	0.0	1.25
8.820622	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.125	0.875	0.5	1.0	0.125	N/A	N/A	1.2911935375000005	1.6	0.0	0.0	0.0	0.0	0.0	1.25
8.920292	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.125	0.875	0.5	1.0	0.125	N/A	N/A	1.4461732874999997	1.1875	0.0	0.0	0.0	0.0	0.0	1.25
9.019977	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.125	0.875	0.5	1.0	0.125	N/A	N/A	1.609466200000001	1.425	0.0	0.0	0.0	0.0	0.0	1.25
9.119712	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.125	0.875	0.5	1.0	0.125	N/A	N/A	1.7729735750000026	1.775	0.0	0.0	0.0	0.0	0.0	1.25
9.231036	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.125	0.875	0.5	1.0	0.125	N/A	N/A	1.9657065375000018	1.7375	0.0	0.0	0.0	0.0	0.0	1.25
9.322367	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.125	0.875	0.5	1.0	0.125	N/A	N/A	2.1122974000000005	1.7125	0.0	0.0	0.0	0.0	0.0	1.25
9.432008	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.125	0.875	0.5	1.0	0.125	N/A	N/A	2.2911038000000015	1.6	0.0	0.0	0.0	0.0	0.0	1.25
