Time 	 VoltageL1 	 VoltageL2 	 VoltageL3 	 VoltageR1 	 VoltageR2 	 VoltageR3 	 CurrentL1 	 CurrentL2 	 CurrentL3 	 CurrentR1 	 CurrentR2 	 CurrentR3 	 Gyrot SPI Gyro Angle 	 SPI Gyro Rate 	 Analog Gyro Angle 	 Analog Gyro Rate 	 Left Encoder Position 	 Left Encoder Rate 	 Right Encoder Position 	 Right Encoder Rate
8.155986	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.125	1.0	0.5	0.004279610425473621	-0.20554274445951012	0.5169425499999986	1.6625	0.0	0.0	0.0	0.0	
8.233758	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	0.009773750608057939	-0.2791118984773673	0.6503872374999993	1.5	0.0	0.0	0.0	0.0	
8.333864	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	13.614682357918664	-0.10455545665259047	0.8250611374999992	1.6125	0.0	0.0	0.0	0.0	
8.434362	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	47.65044775334909	0.0352599957748649	0.9960851124999974	1.6875	0.0	0.0	0.0	0.0	
8.534926	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	81.69465057834563	0.052289892538257755	1.1616216499999976	1.5625	0.0	0.0	0.0	0.0	
8.634666	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	115.74355928326457	-0.09859499278540297	1.3345300749999993	1.825	0.0	0.0	0.0	0.0	
8.735302	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	149.78833046759036	-0.045972611786519034	1.5128584499999966	1.725	0.0	0.0	0.0	0.0	
8.834835	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	183.8340387681911	-0.014978199677144033	1.6837791999999976	1.6125	0.0	0.0	0.0	0.0	
9.062364	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	265.5335373162915	-0.05636084881218868	1.8292220499999983	1.675	0.0	0.0	0.0	0.0	
9.16249	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	299.58413418374187	0.013121129982454181	2.2379597249999996	1.55	0.0	0.0	0.0	0.0	
9.263194	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	333.6227853560046	0.1704773760762042	2.408281037499998	1.525	0.0	0.0	0.0	0.0	
9.363068	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	367.66982997764734	0.22616513849249884	2.5806433875000008	1.5875	0.0	0.0	0.0	0.0	
9.462719	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	401.70667119609385	0.0674465006576774	2.7545801124999985	1.8375	0.0	0.0	0.0	0.0	
9.563321	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	435.75464955092025	-0.0025463750398672467	2.9286074874999986	1.6375	0.0	0.0	0.0	0.0	
9.662893	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	469.81379548994784	0.13880176809629347	3.0953052249999975	1.4625	0.0	0.0	0.0	0.0	
9.763455	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	503.8706138621987	0.21407391179048987	3.2665271624999987	1.675	0.0	0.0	0.0	0.0	
9.863994	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	537.9317219941486	0.17201006678490954	3.438330925	1.475	0.0	0.0	0.0	0.0	
9.963832	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	571.9763409393684	0.14288894331950774	3.602938	1.775	0.0	0.0	0.0	0.0	
10.064382	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	606.0352771267387	0.14101565467553456	3.7834731499999994	1.6625	0.0	0.0	0.0	0.0	
10.164953	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	640.100387455632	0.3659805909199542	3.9623419499999986	1.6875	0.0	0.0	0.0	0.0	
10.265056	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	674.1401618141883	-0.1326547863121887	4.140442674999995	1.725	0.0	0.0	0.0	0.0	
10.365626	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	708.1811980657792	0.02419056287865954	4.305703524999996	1.4125	0.0	0.0	0.0	0.0	
10.465545	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	742.2233439712984	-0.16279770358339404	4.471696174999995	1.7125	0.0	0.0	0.0	0.0	
10.565932	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	776.26199176047	-0.003568168845670818	4.650887087499996	1.725	0.0	0.0	0.0	0.0	
10.666367	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	810.3089518048315	0.05739886156727562	4.825548374999995	1.75	0.0	0.0	0.0	0.0	
10.810825	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	864.7766734930365	-0.09672170414142973	5.0785312874999935	1.4125	0.0	0.0	0.0	0.0	
10.866482	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	885.2053481873031	-0.005611756457277961	5.164269974999993	1.625	0.0	0.0	0.0	0.0	
10.967442	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	919.2552143070445	-0.14304302333785834	5.340663974999993	1.775	0.0	0.0	0.0	0.0	
11.067636	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	953.2998028044431	-0.09365632272401904	5.521595737499996	1.775	0.0	0.0	0.0	0.0	
11.169494	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	987.3503726071634	0.15889704627709703	5.702389574999995	1.8125	0.0	0.0	0.0	0.0	
11.267718	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	1021.4128035277904	0.06046424298468633	5.8783705124999965	1.95	0.0	0.0	0.0	0.0	
11.367845	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	1055.4678796080498	-0.04682410662468867	6.053159699999996	1.575	0.0	0.0	0.0	0.0	
11.468974	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	1089.5231992708789	0.33822185919562375	6.222581162499998	1.7875	0.0	0.0	0.0	0.0	
11.568319	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	1123.582889887597	0.22888992197464167	6.3865132125	1.6125	0.0	0.0	0.0	0.0	
11.669011	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	1157.6427192110561	0.16383571633848099	6.553919425	1.6875	0.0	0.0	0.0	0.0	
11.7702	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	1191.688373382197	-0.1779543117028137	6.7226482375000005	1.7375	0.0	0.0	0.0	0.0	
11.869132	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	1225.7468325537018	0.05024630492665061	6.896292612500001	1.4875	0.0	0.0	0.0	0.0	
11.969126	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	1259.8018139074063	-0.02723972534678689	7.068121012500002	1.75	0.0	0.0	0.0	0.0	
12.069367	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	1293.8557600351896	0.2122006231465167	7.240728112500001	1.9875	0.0	0.0	0.0	0.0	
12.169589	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	1327.9249097750298	0.375857931042722	7.420253700000001	1.775	0.0	0.0	0.0	0.0	
12.269699	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	1361.9527181398512	-0.03302989024634046	7.601328675	1.925	0.0	0.0	0.0	0.0	
12.369752	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	1395.9963018591498	0.11666290230388277	7.781311487500002	1.5875	0.0	0.0	0.0	0.0	
12.471658	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	1430.0493041044756	0.11138363430723097	7.9534638875000025	1.6	0.0	0.0	0.0	0.0	
12.572409	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	1464.1119684583987	0.12807293313535598	8.128513725000001	1.6125	0.0	0.0	0.0	0.0	
