Time 	 VoltageL1 	 VoltageL2 	 VoltageL3 	 VoltageR1 	 VoltageR2 	 VoltageR3 	 CurrentL1 	 CurrentL2 	 CurrentL3 	 CurrentR1 	 CurrentR2 	 CurrentR3 	 Gyrot SPI Gyro Angle 	 SPI Gyro Rate 	 Analog Gyro Angle 	 Analog Gyro Rate 	 Left Encoder Position 	 Left Encoder Rate 	 Right Encoder Position 	 Right Encoder Rate
8.225956	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.125	1.0	0.5	0.021908898905428593	-0.07372999193174244	0.5348102125000003	1.3875	0.0	0.0	0.0	0.0	
8.312733	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.75	0.125	1.0	0.5	0.02182432162429275	0.09146000667316827	0.6862251874999998	1.6875	0.0	0.0	0.0	0.0	
8.412434	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.75	0.125	1.0	0.5	21.211028077138042	-0.1294177543480371	0.8607652499999994	1.675	0.0	0.0	0.0	0.0	
8.512692	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.75	0.125	1.0	0.5	56.56707189582893	0.051780347214462924	1.0311304375	1.7375	0.0	0.0	0.0	0.0	
8.612624	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	91.9240900447985	0.1142800683361147	1.2153126874999995	1.7375	0.0	0.0	0.0	0.0	
8.712319	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.75	0.125	1.0	0.5	127.29336851644153	0.0844777490001772	1.383786562499999	1.625	0.0	0.0	0.0	0.0	
8.981562	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.75	0.125	1.0	0.5	226.31030895967524	0.02419191445776649	1.5349823750000016	1.4625	0.0	0.0	0.0	0.0	
9.081372	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.75	0.125	1.0	0.5	261.67131577322317	0.041562409156427206	2.055125487500001	1.7375	0.0	0.0	0.0	0.0	
9.181254	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.75	0.125	1.0	0.5	297.01547140927767	-0.2981840312732603	2.2225173625000014	1.7	0.0	0.0	0.0	0.0	
9.281611	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.75	0.125	1.0	0.5	332.36267182745297	-0.22563667106120674	2.3973917375000013	1.75	0.0	0.0	0.0	0.0	
9.382314	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.75	0.125	1.0	0.5	367.71551185873443	-0.10455410507348352	2.578634037500001	1.5125	0.0	0.0	0.0	0.0	
9.482322	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.75	0.125	1.0	0.5	403.0693668173895	0.008524409435445059	2.7559708874999993	1.8875	0.0	0.0	0.0	0.0	
9.583036	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.75	0.125	1.0	0.5	438.4374781225529	-0.1803371456705817	2.926924925000002	1.6875	0.0	0.0	0.0	0.0	
9.684411	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.75	0.125	1.0	0.5	473.8002407604572	0.00835411046781113	3.0984583250000024	1.725	0.0	0.0	0.0	0.0	
9.783265	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.75	0.125	1.0	0.5	509.1579862740445	0.03764553290084685	3.2727660124999987	1.725	0.0	0.0	0.0	0.0	
9.883786	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.75	0.125	1.0	0.5	544.529710720658	0.1410170062546415	3.457876012499999	1.7875	0.0	0.0	0.0	0.0	
9.984806	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.75	0.125	1.0	0.5	579.8885726543564	-0.01191146668062637	3.624988300000002	1.75	0.0	0.0	0.0	0.0	
10.084464	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.75	0.125	1.0	0.5	615.2396399458252	-0.0096975801013853	3.7994187875000005	1.675	0.0	0.0	0.0	0.0	
10.184582	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.75	0.125	1.0	0.5	650.5888127061967	-0.06180906419736745	3.9630088250000006	1.7875	0.0	0.0	0.0	0.0	
10.284069	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.75	0.125	1.0	0.5	685.9462199106595	0.1357377382579897	4.128359525000002	1.475	0.0	0.0	0.0	0.0	
10.385441	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.75	0.125	1.0	0.5	721.3124772818203	-0.05159112613933173	4.296878487500002	2.025	0.0	0.0	0.0	0.0	
10.48505	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.75	0.125	1.0	0.5	756.6690454796543	0.10099674886066827	4.467795437500004	1.7375	0.0	0.0	0.0	0.0	
10.584525	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.75	0.125	1.0	0.5	792.0235669072846	0.015847265043703988	4.647980462500003	2.0125	0.0	0.0	0.0	0.0	
10.69188	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.75	0.125	1.0	0.5	834.4609518479939	-0.013444157389331728	4.827251650000003	1.6625	0.0	0.0	0.0	0.0	
10.791213	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.75	0.125	1.0	0.5	869.8201926879117	0.15055374844214148	4.989083375000004	1.65	0.0	0.0	0.0	0.0	
10.891744	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.75	0.125	1.0	0.5	905.1878337433919	0.18716802648343614	5.162464575000007	1.625	0.0	0.0	0.0	0.0	
10.991956	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.75	0.125	1.0	0.5	0.0012788084907739358	0.06430205186243099	5.355493712500007	1.925	0.0	0.0	0.0	0.0	
11.091772	-0.18818897637795273	-0.18818897637795273	-0.18818897637795273	-0.093359375	-0.093359375	-0.093359375	0.625	2.0	0.75	0.125	1.0	0.5	0.01301813511242885	0.023600598597922053	5.510542537500007	1.825	0.0	0.0	0.0	0.0	
11.191403	-0.18818897637795273	-0.18818897637795273	-0.18818897637795273	-0.093359375	-0.093359375	-0.093359375	0.625	2.0	0.625	0.125	1.0	0.5	0.006346679176433607	-0.021869225760336883	5.686613012500008	1.55	0.0	0.0	0.0	0.0	
11.292123	-0.18818897637795273	-0.18818897637795273	-0.18818897637795273	-0.093359375	-0.093359375	-0.093359375	0.625	2.0	0.75	0.125	1.0	0.5	0.0041882669618469115	0.17397458701868102	5.859364525000008	1.7375	0.0	0.0	0.0	0.0	
11.392681	-0.18740157480314962	-0.18740157480314962	-0.18740157480314962	-0.09296875	-0.09296875	-0.09296875	0.625	2.0	0.75	0.125	1.0	0.5	0.020061731085421797	0.023089701695020268	6.027022212500009	1.525	0.0	0.0	0.0	0.0	
