Time 	 VoltageL1 	 VoltageL2 	 VoltageL3 	 VoltageR1 	 VoltageR2 	 VoltageR3 	 CurrentL1 	 CurrentL2 	 CurrentL3 	 CurrentR1 	 CurrentR2 	 CurrentR3 	 Gyrot SPI Gyro Angle 	 SPI Gyro Rate 	 Analog Gyro Angle 	 Analog Gyro Rate 	 Left Encoder Position 	 Left Encoder Rate 	 Right Encoder Position 	 Right Encoder Rate
8.246023	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	-0.01687147604097783	-0.038160484541069475	0.5287994999999993	1.55	0.0	0.0	0.0	0.0	
8.299768	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	-0.013647390084079516	0.09535390608393052	0.6112555125000003	1.7125	0.0	0.0	0.0	0.0	
8.397587	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	6.80998675631326	0.018549071681028748	0.7760711374999991	1.6	0.0	0.0	0.0	0.0	
8.497528	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	40.86355736096841	0.27944709009620733	0.9474075499999981	1.625	0.0	0.0	0.0	0.0	
8.598545	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	74.90639680019305	-0.16009454536696233	1.1341006124999986	1.9625	0.0	0.0	0.0	0.0	
8.696741	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	108.94725713103908	0.15036047262968946	1.3008286374999984	2.0	0.0	0.0	0.0	0.0	
8.860211	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	163.40776606870884	-0.16571441129888198	1.3462785249999978	1.575	0.0	0.0	0.0	0.0	
8.961107	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	197.46084274204216	0.05771783423683232	1.750917312499997	1.75	0.0	0.0	0.0	0.0	
9.06215	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	231.51493772584035	0.1738617301631716	1.9318130499999984	1.75	0.0	0.0	0.0	0.0	
9.160005	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	265.5680279315386	-0.12671594771071232	2.0817413875000006	1.725	0.0	0.0	0.0	0.0	
9.260245	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	299.62890601328394	0.17505382293660912	2.2490115125	1.6625	0.0	0.0	0.0	0.0	
9.359637	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	333.6803554197282	-0.05229529885468554	2.420850987499999	1.95	0.0	0.0	0.0	0.0	
9.460146	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	367.7256442170145	-0.0633647317508909	2.5931793499999993	1.675	0.0	0.0	0.0	0.0	
9.561294	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	401.7745867528459	0.19974717324352873	2.7762449500000024	1.8125	0.0	0.0	0.0	0.0	
9.664078	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	435.8317941805899	-0.12892983428995342	2.9570354	1.6	0.0	0.0	0.0	0.0	
9.764558	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	469.8751207849539	-0.16009454536696233	3.1168652999999993	1.7	0.0	0.0	0.0	0.0	
9.864724	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	503.9202945571379	-0.12995162809575697	3.2931677124999985	1.7125	0.0	0.0	0.0	0.0	
9.965137	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	0.875	0.5	544.7706781607965	0.05754753526919839	3.4623901125000023	1.775	0.0	0.0	0.0	0.0	
10.064981	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	578.8167924323467	0.11136200904151983	3.6462571125000003	1.8	0.0	0.0	0.0	0.0	
10.167273	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	612.8711817450833	0.0629971022334841	3.8168567625	1.775	0.0	0.0	0.0	0.0	
10.264335	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	646.908936398166	-0.1594133494964266	3.9712446875000005	1.5625	0.0	0.0	0.0	0.0	
10.366768	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	680.9546345494931	-0.07324207187365876	4.1515638249999975	1.7	0.0	0.0	0.0	0.0	
10.465709	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	714.9953798552368	-0.16741740097522126	4.326567587499997	1.8125	0.0	0.0	0.0	0.0	
10.564131	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	749.0369100381495	0.06725457642433232	4.492159474999998	1.8	0.0	0.0	0.0	0.0	
