Time 	 VoltageL1 	 VoltageL2 	 VoltageL3 	 VoltageR1 	 VoltageR2 	 VoltageR3 	 CurrentL1 	 CurrentL2 	 CurrentL3 	 CurrentR1 	 CurrentR2 	 CurrentR3 	 Gyrot SPI Gyro Angle 	 SPI Gyro Rate 	 Analog Gyro Angle 	 Analog Gyro Rate 	 Left Encoder Position 	 Left Encoder Rate 	 Right Encoder Position 	 Right Encoder Rate
8.164319	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.75	0.125	1.0	0.5	0.03539051751848186	0.23178162547665113	0.4659075250000005	1.8625	0.0	0.0	0.0	0.0	
8.232535	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.75	0.125	1.0	0.5	0.035251810777419075	-0.16501496911040248	0.5588979374999994	1.6625	0.0	0.0	0.0	0.0	
8.332732	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	0.03631410142848526	-0.031159980550134612	0.7305439875000005	1.625	0.0	0.0	0.0	0.0	
8.43307	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	27.23749766719135	0.02657136947776717	0.9026599500000008	1.825	0.0	0.0	0.0	0.0	
8.613195	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.75	0.125	1.0	0.5	88.53098823236958	-0.05210675356910783	0.9898801125000006	1.925	0.0	0.0	0.0	0.0	
8.712968	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	122.57497115643517	0.05467069913736539	1.407660362500002	1.575	0.0	0.0	0.0	0.0	
8.813501	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	156.63331191974638	0.2115160483282136	1.5823830625000006	1.5625	0.0	0.0	0.0	0.0	
8.913864	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	190.67283254645923	-0.033203568161741755	1.7593320375000023	1.925	0.0	0.0	0.0	0.0	
9.015991	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	231.5422020581873	0.169963100225535	1.9425690125000008	1.9375	0.0	0.0	0.0	0.0	
9.113775	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	258.77171563003947	-0.29325009173875066	2.110518912500001	1.95	0.0	0.0	0.0	0.0	
9.214176	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	292.818523435295	0.002729514009017172	2.2837703125	1.6375	0.0	0.0	0.0	0.0	
9.314357	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	326.869874732093	0.16826011054919576	2.456476375000001	1.8625	0.0	0.0	0.0	0.0	
9.414324	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	360.9234182720183	0.16468383222888322	2.6219942000000014	1.65	0.0	0.0	0.0	0.0	
9.514931	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	401.7756524265882	-0.2757092980724561	2.8020404625000035	1.9625	0.0	0.0	0.0	0.0	
9.614259	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.75	0.125	1.0	0.5	435.8167867878252	0.0565439877813386	2.968847387500003	1.8625	0.0	0.0	0.0	0.0	
9.714582	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.75	0.125	1.0	0.5	469.847017445978	-0.168591247430715	3.1441488125000014	1.9875	0.0	0.0	0.0	0.0	
9.814471	0.3734375	0.3734375	0.3734375	-0.093359375	-0.093359375	-0.093359375	0.625	2.0	0.75	0.125	1.0	0.5	0.021898749631692294	0.3091321158712458	3.305588887500003	2.0375	0.0	0.0	0.0	0.0	
