Time 	 VoltageL1 	 VoltageL2 	 VoltageL3 	 VoltageR1 	 VoltageR2 	 VoltageR3 	 CurrentL1 	 CurrentL2 	 CurrentL3 	 CurrentR1 	 CurrentR2 	 CurrentR3 	 Gyrot SPI Gyro Angle 	 SPI Gyro Rate 	 Analog Gyro Angle 	 Analog Gyro Rate 	 Left Encoder Position 	 Left Encoder Rate 	 Right Encoder Position 	 Right Encoder Rate
8.03196	0	0	0	0	0	0	0.625	2	0.625	0.125	1	0.5	0.001691546	-0.001834093	0.486181162	1.775	0	0	0	0
8.093057	0	0	0	0	0	0	0.625	2	0.625	0.125	1	0.5	0.007087576	0.1478587	0.548529762	1.6	0	0	0	0
8.192614	0	0	0	0	0	0	0.625	2	0.625	0.125	1	0.5	20.4316552	0.132020896	0.714019863	1.7875	0	0	0	0
8.293052	0	0	0	0	0	0	0.625	2	0.625	0.125	1	0.5	54.48679894	0.017750288	0.89140055	1.6625	0	0	0	0
8.549834	0	0	0	0	0	0	0.625	2	0.625	0.125	1	0.5	143.0074721	-0.273460946	1.0410779	1.7625	0	0	0	0
8.652289	0	0	0	0	0	0	0.625	2	0.625	0.125	1	0.5	177.0667669	0.062879515	1.514743025	1.775	0	0	0	0
8.750039	0	0	0	0	0	0	0.625	2	0.625	0.125	1	0.5	211.1163556	-0.039129567	1.671146075	1.8875	0	0	0	0
8.850212	0	0	0	0	0	0	0.625	2	0.625	0.125	1	0.5	245.165606	0.126911927	1.844569687	1.875	0	0	0	0
8.950474	0	0	0	0	0	0	0.625	2	0.625	0.125	1	0.5	279.2184493	-0.161233927	2.0272377	1.7	0	0	0	0
9.050359	0	0	0	0	0	0	0.625	2	0.625	0.125	1	0.5	313.2600843	0.143601226	2.1862999	1.7625	0	0	0	0
9.150387	0	0	0	0	0	0	0.625	2	0.625	0.125	1	0.5	347.3039725	0.029160319	2.359918963	1.5375	0	0	0	0
9.250495	0	0	0	0	0	0	0.625	2	0.625	0.125	1	0.5	381.3553035	-0.053775278	2.531858213	1.6875	0	0	0	0
9.350051	0	0	0	0	0	0	0.625	2	0.625	0.125	1	0.5	415.4086881	0.098812597	2.712297138	1.8875	0	0	0	0
9.450848	0	0	0	0	0	0	0.625	2	0.625	0.125	1	0.5	449.4502047	0.010427433	2.88372185	1.4875	0	0	0	0
9.55151	0	0	0	0	0	0	0.625	2	0.625	0.125	1	0.5	483.497547	-0.153059576	3.050651625	1.65	0	0	0	0
9.651638	0	0	0	0	0	0	0.625	2	0.625	0.125	1	0.5	517.5467298	-0.16719439	3.2241322	1.45	0	0	0	0
9.751239	0	0	0	0	0	0	0.625	2	0.625	0.125	1	0.5	551.5970052	-0.001493495	3.40004485	1.6	0	0	0	0
9.851674	0	0	0	0	0	0	0.625	2	0.625	0.125	1	0.5	585.6451764	0.009575938	3.576621938	1.7	0	0	0	0
