Time 	 VoltageL1 	 VoltageL2 	 VoltageL3 	 VoltageR1 	 VoltageR2 	 VoltageR3 	 CurrentL1 	 CurrentL2 	 CurrentL3 	 CurrentR1 	 CurrentR2 	 CurrentR3 	 Gyrot SPI Gyro Angle 	 SPI Gyro Rate 	 Analog Gyro Angle 	 Analog Gyro Rate 	 Left Encoder Position 	 Left Encoder Rate 	 Right Encoder Position 	 Right Encoder Rate
8.140913	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	0.018502126021276866	0.0248629734850001	0.45438377500000177	1.6625	0.0	0.0	0.0	0.0	
8.213784	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	0.025417164526943335	0.11920860155419652	0.5844021374999998	1.9125	0.0	0.0	0.0	0.0	
8.313966	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	0.01958809831106108	0.11988979742473223	0.7539321625000005	1.85	0.0	0.0	0.0	0.0	
8.413294	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	20.435352916385003	0.2173008069113394	0.9102673124999997	1.65	0.0	0.0	0.0	0.0	
8.512903	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	54.47436607941105	0.04632064340687509	1.0815574625000013	1.7875	0.0	0.0	0.0	0.0	
8.612583	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	88.5169687022485	-0.004087851012767759	1.2551671874999988	1.65	0.0	0.0	0.0	0.0	
8.830843	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	163.44102185565146	0.1452643436021876	1.6332462874999998	1.4875	0.0	0.0	0.0	0.0	
8.927366	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	197.51076701955103	0.0892359832506251	1.7947591000000003	1.75	0.0	0.0	0.0	0.0	
9.027266	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	231.5771358583876	-0.10677812849602669	1.9560698000000007	2.05	0.0	0.0	0.0	0.0	
9.123935	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	265.61874385239895	-0.2826969620618749	2.1314811125000017	1.775	0.0	0.0	0.0	0.0	
9.224205	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	299.66100816611186	0.004937994271830455	2.301280887499999	1.85	0.0	0.0	0.0	0.0	
9.324701	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	333.7247348106858	0.18255981751401795	2.4736189125000005	1.725	0.0	0.0	0.0	0.0	
9.425057	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	367.7748783439093	0.05006722069482153	2.6424240000000006	1.5375	0.0	0.0	0.0	0.0	
9.525476	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	401.8240170990329	-0.23109637486879456	2.8168633500000015	1.5625	0.0	0.0	0.0	0.0	
9.625417	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	435.8638354377754	-0.027418809578615973	2.9912635750000027	1.6875	0.0	0.0	0.0	0.0	
9.725014	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	469.91003766969794	-0.022309840549598114	3.1609973375000027	2.0375	0.0	0.0	0.0	0.0	
9.825286	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	503.96568210928655	0.15837736411000009	3.3350010250000035	1.625	0.0	0.0	0.0	0.0	
9.925966	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	538.0208123190058	0.21508692033209834	3.5093875000000034	1.5	0.0	0.0	0.0	0.0	
10.026002	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	572.076422927682	0.04529884960107153	3.6862000500000036	1.6125	0.0	0.0	0.0	0.0	
10.126236	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	606.1187447539461	0.11478082839571441	3.8655448500000036	1.6375	0.0	0.0	0.0	0.0	
10.225987	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	640.1689491828121	-0.11205739649267848	4.031809937500006	1.7	0.0	0.0	0.0	0.0	
10.326593	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.75	0.125	1.0	0.5	674.2164200739517	-0.33225396164334814	4.203711687500008	1.525	0.0	0.0	0.0	0.0	
10.427268	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	708.2602575250937	0.12329577677741083	4.373962950000009	1.85	0.0	0.0	0.0	0.0	
10.527615	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.125	1.0	0.5	749.127451709151	0.22683754909883938	4.529333425000008	1.5375	0.0	0.0	0.0	0.0	
