Time 	 VoltageL1 	 VoltageL2 	 VoltageL3 	 VoltageR1 	 VoltageR2 	 VoltageR3 	 CurrentL1 	 CurrentL2 	 CurrentL3 	 CurrentR1 	 CurrentR2 	 CurrentR3 	 Gyrot SPI Gyro Angle 	 SPI Gyro Rate 	 Analog Gyro Angle 	 Analog Gyro Rate 	 Left Encoder Position 	 Left Encoder Rate 	 Right Encoder Position 	 Right Encoder Rate
8.349016	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	0.5726246124999992	1.7625	0.0	0.0	0.0	0.0	
8.364786	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	0.5971956875000008	1.725	0.0	0.0	0.0	0.0	
8.462551	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	0.7503895375000003	1.525	0.0	0.0	0.0	0.0	
8.558601	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	0.9075758	1.55	0.0	0.0	0.0	0.0	
8.76045	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	1.222893562499999	1.575	0.0	0.0	0.0	0.0	
8.858352	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	1.374210949999999	1.375	0.0	0.0	0.0	0.0	
8.952705	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	1.5269146999999972	1.625	0.0	0.0	0.0	0.0	
9.050562	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	1.6828417124999988	1.4625	0.0	0.0	0.0	0.0	
9.155937	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	1.8534446125	1.65	0.0	0.0	0.0	0.0	
9.248413	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	2.0026617124999975	1.7125	0.0	0.0	0.0	0.0	
9.349627	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	2.1647642749999987	1.625	0.0	0.0	0.0	0.0	
9.447501	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	2.3169437000000004	1.5875	0.0	0.0	0.0	0.0	
9.547314	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	2.479370974999997	1.65	0.0	0.0	0.0	0.0	
9.649004	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	2.635005887499996	1.3875	0.0	0.0	0.0	0.0	
9.748137	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	2.7958680874999975	1.6375	0.0	0.0	0.0	0.0	
9.847669	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	2.957515374999995	1.7125	0.0	0.0	0.0	0.0	
9.948095	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	3.114349799999995	1.5875	0.0	0.0	0.0	0.0	
10.051369	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	3.280899999999994	1.725	0.0	0.0	0.0	0.0	
10.148313	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	3.4273442374999963	1.5125	0.0	0.0	0.0	0.0	
10.248152	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.0	0.25	N/A	N/A	3.5900385249999958	1.6	0.0	0.0	0.0	0.0	
10.353004	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	3.769841474999995	1.65	0.0	0.0	0.0	0.0	
10.449042	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	3.921676687499996	1.4625	0.0	0.0	0.0	0.0	
10.551894	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	4.074051749999995	1.7125	0.0	0.0	0.0	0.0	
10.648588	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	4.225273562499997	1.55	0.0	0.0	0.0	0.0	
10.748608	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	4.388881199999997	1.825	0.0	0.0	0.0	0.0	
10.848362	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	4.549864724999998	1.8125	0.0	0.0	0.0	0.0	
10.948216	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	4.711345374999996	1.7375	0.0	0.0	0.0	0.0	
11.049101	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	4.876237587499999	1.7875	0.0	0.0	0.0	0.0	
11.14999	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	5.027737462499999	1.65	0.0	0.0	0.0	0.0	
11.250231	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	5.188601425000002	1.525	0.0	0.0	0.0	0.0	
11.348972	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	5.339983800000004	1.4625	0.0	0.0	0.0	0.0	
11.452176	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	5.504757000000003	1.675	0.0	0.0	0.0	0.0	
11.550995	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	5.672577675000003	1.55	0.0	0.0	0.0	0.0	
11.649454	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	5.835671775000006	1.575	0.0	0.0	0.0	0.0	
11.749257	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	5.992519362500004	1.5375	0.0	0.0	0.0	0.0	
11.849073	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	6.176064425000004	1.525	0.0	0.0	0.0	0.0	
11.949665	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	6.328082762500001	1.45	0.0	0.0	0.0	0.0	
12.052789	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.0	0.25	N/A	N/A	6.492190812500003	1.5625	0.0	0.0	0.0	0.0	
12.196004	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	6.7123286125	1.875	0.0	0.0	0.0	0.0	
12.263054	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	6.8246298125	1.775	0.0	0.0	0.0	0.0	
12.362092	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	6.976497037499998	1.5875	0.0	0.0	0.0	0.0	
12.463992	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	7.13990325	1.6	0.0	0.0	0.0	0.0	
12.560739	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	7.290956937499997	1.6375	0.0	0.0	0.0	0.0	
12.661752	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	7.457771387499997	1.4125	0.0	0.0	0.0	0.0	
12.76599	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	7.626256199999998	1.6375	0.0	0.0	0.0	0.0	
12.856702	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	7.774829987499997	1.55	0.0	0.0	0.0	0.0	
12.961119	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	7.941423799999995	1.5375	0.0	0.0	0.0	0.0	
13.05766	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	8.093854674999994	1.575	0.0	0.0	0.0	0.0	
13.154589	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	8.246008812499994	1.3875	0.0	0.0	0.0	0.0	
13.253404	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	8.402664299999994	1.5	0.0	0.0	0.0	0.0	
13.35692	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	8.574313274999998	1.8875	0.0	0.0	0.0	0.0	
13.451841	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	8.7228624375	1.525	0.0	0.0	0.0	0.0	
13.552467	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	8.88080095	1.525	0.0	0.0	0.0	0.0	
13.650465	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	9.030525487499997	1.6625	0.0	0.0	0.0	0.0	
13.821957	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	9.2965535875	1.425	0.0	0.0	0.0	0.0	
13.909762	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	9.435032350000004	1.65	0.0	0.0	0.0	0.0	
14.014518	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	9.601236250000001	1.5375	0.0	0.0	0.0	0.0	
