Time 	 VoltageL1 	 VoltageL2 	 VoltageL3 	 VoltageR1 	 VoltageR2 	 VoltageR3 	 CurrentL1 	 CurrentL2 	 CurrentL3 	 CurrentR1 	 CurrentR2 	 CurrentR3 	 Gyrot SPI Gyro Angle 	 SPI Gyro Rate 	 Analog Gyro Angle 	 Analog Gyro Rate 	 Left Encoder Position 	 Left Encoder Rate 	 Right Encoder Position 	 Right Encoder Rate
15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0
18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0
19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	4	0
20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	0
21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	6	0
22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	7	0
23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	8	0
24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	9	0
25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	10	0
26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	11	0
27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	12	0
28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	13	0
29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	14	0
30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	15	0
31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	16	0
32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	17	0
33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	18	0
34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	19	0
35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	20	0
36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	21	0
37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	1	22	1
38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	2	23	2
39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	3	24	3
40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	4	25	4
41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	5	26	5
42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	6	27	6
43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	7	28	7
44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	8	29	8
45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	9	30	9
46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	10	31	10
47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	11	32	11
48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	12	33	12
49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	13	34	13
50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	14	35	14
51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	15	36	15
52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	16	37	16
53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	17	38	17
54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	18	39	18
55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	19	40	19
56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	20	41	20
57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	21	42	21
58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	22	43	22
59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	23	44	23
60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	24	45	24
61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	25	46	25
62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	26	47	26
63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	27	48	27
64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	28	49	28
65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	29	50	29
66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	30	51	30
67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	31	52	31
68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	32	53	32
69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	33	54	33
70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	34	55	34
71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	35	56	35
72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	36	57	36
73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	37	58	37
74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	38	59	38
75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	39	60	39
76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	40	61	40
77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	41	62	41
78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	42	63	42
79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	43	64	43
80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	44	65	44
81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	45	66	45
82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	46	67	46
83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	47	68	47
84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	48	69	48
85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	49	70	49
86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	50	71	50
87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	51	72	51
88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	52	73	52
89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	53	74	53
90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	54	75	54
91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	55	76	55
92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	56	77	56
93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	57	78	57
94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	58	79	58
95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	59	80	59
96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	60	81	60
97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	61	82	61
98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	62	83	62
99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	63	84	63
100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	64	85	64
101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	65	86	65
102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	66	87	66
103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	67	88	67
104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	68	89	68
105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	69	90	69
106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	70	91	70
107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	71	92	71
108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	72	93	72
109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	73	94	73
110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	74	95	74
111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	75	96	75
112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	76	97	76
113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	77	98	77
114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	78	99	78
115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	79	100	79
116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	80	101	80
117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	81	102	81
118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	82	103	82
119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	83	104	83
120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	84	105	84
121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	85	106	85
122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	86	107	86
123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	87	108	87
124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	88	109	88
125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	89	110	89
126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	90	111	90
127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	91	112	91
128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	92	113	92
129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	93	114	93
130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	94	115	94
131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	95	116	95
132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	96	117	96
133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	97	118	97
134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	98	119	98
135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	99	120	99
