Time 	 VoltageL1 	 VoltageL2 	 VoltageL3 	 VoltageR1 	 VoltageR2 	 VoltageR3 	 CurrentL1 	 CurrentL2 	 CurrentL3 	 CurrentR1 	 CurrentR2 	 CurrentR3 	 Gyrot SPI Gyro Angle 	 SPI Gyro Rate 	 Analog Gyro Angle 	 Analog Gyro Rate 	 Left Encoder Position 	 Left Encoder Rate 	 Right Encoder Position 	 Right Encoder Rate 	 Lift Voltage 	 Lift Current
8.475002	0.0	0.0	0.0	0.0	0.0	0.0	0.625	1.875	0.625	0.5	1.0	0.125	N/A	N/A	0.9669968499999978	1.65	0.0	0.0	0.0	0.0	0.0	1.0
8.497974	0.0	0.0	0.0	0.0	0.0	0.0	0.625	1.875	0.625	0.5	1.0	0.125	N/A	N/A	1.0054315249999999	1.675	0.0	0.0	0.0	0.0	0.0	1.0
8.585674	0.0	0.0	0.0	0.0	0.0	0.0	0.625	1.875	0.625	0.5	1.0	0.125	N/A	N/A	1.1418888499999997	1.6375	0.0	0.0	0.0	0.0	0.0	1.0
8.696073	0.0	0.0	0.0	0.0	0.0	0.0	0.625	1.875	0.625	0.5	1.0	0.125	N/A	N/A	1.3150117875000003	1.7125	0.0	0.0	0.0	0.0	0.0	1.0
8.785302	0.0	0.0	0.0	0.0	0.0	0.0	0.625	1.875	0.625	0.5	1.0	0.125	N/A	N/A	1.4642015624999989	1.8125	0.0	0.0	0.0	0.0	0.0	1.0
8.883996	0.0	0.0	0.0	0.0	0.0	0.0	0.625	1.875	0.625	0.5	1.0	0.125	N/A	N/A	1.6271722624999994	1.425	0.0	0.0	0.0	0.0	0.0	1.0
9.007867	0.0	0.0	0.0	0.0	0.0	0.0	0.625	1.875	0.625	0.5	1.0	0.125	N/A	N/A	1.8289498249999998	1.6875	0.0	0.0	0.0	0.0	0.0	1.0
9.084494	0.0	0.0	0.0	0.0	0.0	0.0	0.625	1.875	0.625	0.5	1.0	0.125	N/A	N/A	1.9507752250000008	1.475	0.0	0.0	0.0	0.0	0.0	1.0
9.184711	0.0	0.0	0.0	0.0	0.0	0.0	0.625	1.875	0.625	0.5	1.0	0.125	N/A	N/A	2.1069022249999994	1.25	0.0	0.0	0.0	0.0	0.0	1.0
9.307716	0.0	0.0	0.0	0.0	0.0	0.0	0.625	1.875	0.625	0.5	1.0	0.125	N/A	N/A	2.3000744749999966	1.775	0.0	0.0	0.0	0.0	0.0	1.0
9.384361	0.0	0.0	0.0	0.0	0.0	0.0	0.625	1.875	0.625	0.5	1.0	0.125	N/A	N/A	2.425516862499996	1.575	0.0	0.0	0.0	0.0	0.0	1.0
9.505318	0.0	0.0	0.0	0.0	0.0	0.0	0.625	1.875	0.625	0.5	1.0	0.125	N/A	N/A	2.624275037499997	1.7875	0.0	0.0	0.0	0.0	0.0	1.0
9.584457	0.0	0.0	0.0	0.0	0.0	0.0	0.625	1.875	0.625	0.5	1.0	0.125	N/A	N/A	2.7523838124999975	1.5125	0.0	0.0	0.0	0.0	0.0	1.0
9.708378	0.0	0.0	0.0	0.0	0.0	0.0	0.625	1.875	0.625	0.5	1.0	0.125	N/A	N/A	2.949562924999997	1.525	0.0	0.0	0.0	0.0	0.0	1.0
9.809631	0.0	0.0	0.0	0.0	0.0	0.0	0.625	1.875	0.625	0.5	1.0	0.125	N/A	N/A	3.1096654749999977	1.5625	0.0	0.0	0.0	0.0	0.0	1.0
9.95317	0.0	0.0	0.0	0.0	0.0	0.0	0.625	1.875	0.625	0.5	1.0	0.125	N/A	N/A	3.344725249999998	1.6875	0.0	0.0	0.0	0.0	0.0	1.0
9.989744	0.0	0.0	0.0	0.0	0.0	0.0	0.625	1.875	0.625	0.5	1.0	0.125	N/A	N/A	3.4054145124999975	1.6625	0.0	0.0	0.0	0.0	0.0	1.0
10.109388	0.0	0.0	0.0	0.0	0.0	0.0	0.625	1.875	0.625	0.5	1.0	0.125	N/A	N/A	3.597322362499996	1.8375	0.0	0.0	0.0	0.0	0.0	1.0
