Time 	 VoltageL1 	 VoltageL2 	 VoltageL3 	 VoltageR1 	 VoltageR2 	 VoltageR3 	 CurrentL1 	 CurrentL2 	 CurrentL3 	 CurrentR1 	 CurrentR2 	 CurrentR3 	 Gyrot SPI Gyro Angle 	 SPI Gyro Rate 	 Analog Gyro Angle 	 Analog Gyro Rate 	 Left Encoder Position 	 Left Encoder Rate 	 Right Encoder Position 	 Right Encoder Rate 	 Lift Voltage 	 Lift Current
8.537456	0.0	0.0	0.0	0.0	0.0	0.0	0.625	1.875	0.625	0.5	0.875	0.125	N/A	N/A	0.9845482000000003	1.3375	0.0	0.0	0.0	0.0	0.0	1.0
8.567531	0.0	0.0	0.0	0.0	0.0	0.0	0.625	1.875	0.625	0.5	0.875	0.125	N/A	N/A	1.0367269499999985	1.3375	0.0	0.0	0.0	0.0	0.0	1.0
8.65633	0.0	0.0	0.0	0.0	0.0	0.0	0.625	1.875	0.625	0.5	0.875	0.125	N/A	N/A	1.1814669375000015	1.6125	0.0	0.0	0.0	0.0	0.0	1.0
8.773786	0.0	0.0	0.0	0.0	0.0	0.0	0.625	1.875	0.625	0.5	0.875	0.125	N/A	N/A	1.3647626999999998	1.725	0.0	0.0	0.0	0.0	0.0	1.0
8.869765	0.0	0.0	0.0	0.0	0.0	0.0	0.625	1.875	0.5	0.5	0.875	0.125	N/A	N/A	1.5138977374999982	1.8	0.0	0.0	0.0	0.0	0.0	1.0
8.968596	0.0	0.0	0.0	0.0	0.0	0.0	0.625	1.875	0.625	0.5	0.875	0.125	N/A	N/A	1.6765683624999999	1.4625	0.0	0.0	0.0	0.0	0.0	1.0
9.065289	0.0	0.0	0.0	0.0	0.0	0.0	0.625	1.875	0.625	0.5	0.875	0.125	N/A	N/A	1.838967824999999	1.625	0.0	0.0	0.0	0.0	0.0	1.0
9.174388	0.0	0.0	0.0	0.0	0.0	0.0	0.625	1.875	0.625	0.5	0.875	0.125	N/A	N/A	2.010376774999999	1.5875	0.0	0.0	0.0	0.0	0.0	1.0
9.260371	0.0	0.0	0.0	0.0	0.0	0.0	0.625	1.875	0.625	0.5	0.875	0.125	N/A	N/A	2.1608006625	1.725	0.0	0.0	0.0	0.0	0.0	1.0
9.358376	0.0	0.0	0.0	0.0	0.0	0.0	0.625	1.875	0.625	0.5	0.875	0.125	N/A	N/A	2.3199944250000004	1.5875	0.0	0.0	0.0	0.0	0.0	1.0
9.456528	0.0	0.0	0.0	0.0	0.0	0.0	0.625	1.875	0.625	0.5	0.875	0.125	N/A	N/A	2.4892441125	1.5875	0.0	0.0	0.0	0.0	0.0	1.0
9.553757	0.0	0.0	0.0	0.0	0.0	0.0	0.625	1.875	0.625	0.5	0.875	0.125	N/A	N/A	2.6463668249999994	1.4125	0.0	0.0	0.0	0.0	0.0	1.0
9.649593	0.0	0.0	0.0	0.0	0.0	0.0	0.625	1.875	0.625	0.5	0.875	0.125	N/A	N/A	2.8017690624999974	1.4375	0.0	0.0	0.0	0.0	0.0	1.0
9.748278	0.0	0.0	0.0	0.0	0.0	0.0	0.625	1.875	0.625	0.5	0.875	0.125	N/A	N/A	2.9716963124999993	1.775	0.0	0.0	0.0	0.0	0.0	1.0
9.850848	0.0	0.0	0.0	0.0	0.0	0.0	0.625	1.875	0.625	0.5	0.875	0.125	N/A	N/A	3.1286118	1.275	0.0	0.0	0.0	0.0	0.0	1.0
9.948789	0.0	0.0	0.0	0.0	0.0	0.0	0.625	1.875	0.625	0.5	0.875	0.125	N/A	N/A	3.2892956624999985	1.6875	0.0	0.0	0.0	0.0	0.0	1.0
10.049199	0.0	0.0	0.0	0.0	0.0	0.0	0.625	1.875	0.625	0.5	0.875	0.125	N/A	N/A	3.4575754624999986	1.4125	0.0	0.0	0.0	0.0	0.0	1.0
10.158783	0.0	0.0	0.0	0.0	0.0	0.0	0.625	1.875	0.625	0.5	0.875	0.125	N/A	N/A	3.6268701625000013	1.7625	0.0	0.0	0.0	0.0	0.0	1.0
10.272644	0.0	0.0	0.0	0.0	0.0	0.0	0.625	1.875	0.625	0.5	0.875	0.125	N/A	N/A	3.8034469875000014	1.675	0.0	0.0	0.0	0.0	0.0	1.0
