Time 	 VoltageL1 	 VoltageL2 	 VoltageL3 	 VoltageR1 	 VoltageR2 	 VoltageR3 	 CurrentL1 	 CurrentL2 	 CurrentL3 	 CurrentR1 	 CurrentR2 	 CurrentR3 	 Gyrot SPI Gyro Angle 	 SPI Gyro Rate 	 Analog Gyro Angle 	 Analog Gyro Rate 	 Left Encoder Position 	 Left Encoder Rate 	 Right Encoder Position 	 Right Encoder Rate 	 Lift Voltage 	 Lift Current
8.912401	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.5	1.0	0.125	N/A	N/A	0.9626696500000002	1.525	0.0	0.0	0.0	0.0	0.0	1.125
8.919052	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.5	1.0	0.125	N/A	N/A	0.970307275000001	1.325	0.0	0.0	0.0	0.0	0.0	1.125
9.035385	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.5	1.0	0.125	N/A	N/A	1.1381372375000005	1.2125	0.0	0.0	0.0	0.0	0.0	1.125
9.139548	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.5	1.0	0.125	N/A	N/A	1.3090083250000026	1.525	0.0	0.0	0.0	0.0	0.0	1.125
9.233056	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.5	1.0	0.125	N/A	N/A	1.45145175	1.6125	0.0	0.0	0.0	0.0	0.0	1.125
9.330855	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.5	1.0	0.125	N/A	N/A	1.6085889874999992	1.4625	0.0	0.0	0.0	0.0	0.0	1.125
9.431048	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.5	1.0	0.125	N/A	N/A	1.772420424999999	1.725	0.0	0.0	0.0	0.0	0.0	1.125
9.531462	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.5	1.0	0.125	N/A	N/A	1.9348140499999988	1.725	0.0	0.0	0.0	0.0	0.0	1.125
9.631665	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.5	1.0	0.125	N/A	N/A	2.091053649999998	1.7375	0.0	0.0	0.0	0.0	0.0	1.125
9.732769	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.5	1.0	0.125	N/A	N/A	2.25451445	1.7625	0.0	0.0	0.0	0.0	0.0	1.125
9.831677	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.5	1.0	0.125	N/A	N/A	2.4166251375	1.6125	0.0	0.0	0.0	0.0	0.0	1.125
9.937951	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.5	1.0	0.125	N/A	N/A	2.5890759875	1.6125	0.0	0.0	0.0	0.0	0.0	1.125
10.018987	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.5	1.0	0.125	N/A	N/A	2.7162385125000004	1.55	0.0	0.0	0.0	0.0	0.0	1.125
10.131402	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.5	1.0	0.125	N/A	N/A	2.9054941250000033	1.425	0.0	0.0	0.0	0.0	0.0	1.125
10.22038	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.5	1.0	0.125	N/A	N/A	3.0502353375000033	1.725	0.0	0.0	0.0	0.0	0.0	1.125
10.320292	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.5	1.0	0.125	N/A	N/A	3.2031162375000015	1.475	0.0	0.0	0.0	0.0	0.0	1.125
10.4198	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.5	1.0	0.125	N/A	N/A	3.3594683000000027	1.6625	0.0	0.0	0.0	0.0	0.0	1.125
10.589155	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.5	1.0	0.125	N/A	N/A	3.633814825000005	1.7375	0.0	0.0	0.0	0.0	0.0	1.125
10.635222	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.5	1.0	0.125	N/A	N/A	3.714143687500004	1.75	0.0	0.0	0.0	0.0	0.0	1.125
10.720043	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.5	1.0	0.125	N/A	N/A	3.853934112500003	1.225	0.0	0.0	0.0	0.0	0.0	1.125
