Time 	 VoltageL1 	 VoltageL2 	 VoltageL3 	 VoltageR1 	 VoltageR2 	 VoltageR3 	 CurrentL1 	 CurrentL2 	 CurrentL3 	 CurrentR1 	 CurrentR2 	 CurrentR3 	 Gyrot SPI Gyro Angle 	 SPI Gyro Rate 	 Analog Gyro Angle 	 Analog Gyro Rate 	 Left Encoder Position 	 Left Encoder Rate 	 Right Encoder Position 	 Right Encoder Rate 	 Lift Voltage 	 Lift Current
8.459327	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.5	1.0	0.125	N/A	N/A	1.1331395124999983	1.5875	0.0	0.0	0.0	0.0	0.0	1.0
8.486779	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.5	1.0	0.125	N/A	N/A	1.1704675874999995	1.5625	0.0	0.0	0.0	0.0	0.0	1.0
8.584828	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.5	1.0	0.125	N/A	N/A	1.325822300000001	1.5	0.0	0.0	0.0	0.0	0.0	1.0
8.677094	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.5	1.0	0.125	N/A	N/A	1.4744249625000023	1.5125	0.0	0.0	0.0	0.0	0.0	1.0
8.80501	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.5	1.0	0.125	N/A	N/A	1.6797741500000012	1.35	0.0	0.0	0.0	0.0	0.0	1.0
8.876639	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.5	1.0	0.125	N/A	N/A	1.7935029125000033	1.5375	0.0	0.0	0.0	0.0	0.0	1.125
8.976636	0.0	0.0	0.0	0.0	0.0	0.0	0.625	1.875	0.625	0.5	1.0	0.125	N/A	N/A	1.9555655000000036	1.3125	0.0	0.0	0.0	0.0	0.0	1.0
9.076675	0.0	0.0	0.0	0.0	0.0	0.0	0.625	1.875	0.625	0.5	1.0	0.125	N/A	N/A	2.1123184500000027	1.6125	0.0	0.0	0.0	0.0	0.0	1.0
9.177408	0.0	0.0	0.0	0.0	0.0	0.0	0.625	1.875	0.625	0.5	1.0	0.125	N/A	N/A	2.2685391125000036	1.6125	0.0	0.0	0.0	0.0	0.0	1.0
9.277381	0.0	0.0	0.0	0.0	0.0	0.0	0.625	1.875	0.625	0.5	1.0	0.125	N/A	N/A	2.4309471625000034	1.625	0.0	0.0	0.0	0.0	0.0	1.0
9.378996	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.5	1.0	0.125	N/A	N/A	2.593124037500004	1.5375	0.0	0.0	0.0	0.0	0.0	1.0
9.477035	0.0	0.0	0.0	0.0	0.0	0.0	0.625	2.0	0.625	0.5	1.0	0.125	N/A	N/A	2.741451437500004	1.3	0.0	0.0	0.0	0.0	0.0	1.125
