Time 	 VoltageL1 	 VoltageL2 	 VoltageL3 	 VoltageR1 	 VoltageR2 	 VoltageR3 	 CurrentL1 	 CurrentL2 	 CurrentL3 	 CurrentR1 	 CurrentR2 	 CurrentR3 	 Gyrot SPI Gyro Angle 	 SPI Gyro Rate 	 Analog Gyro Angle 	 Analog Gyro Rate 	 Left Encoder Position 	 Left Encoder Rate 	 Right Encoder Position 	 Right Encoder Rate 	 Lift Voltage 	 Lift Current
8.428859	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	0.9451395750000002	1.425	0.0	0.0	0.0	0.0	0.0	1.25
8.455582	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	0.9801950374999997	1.5875	0.0	0.0	0.0	0.0	0.0	1.25
8.542064	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	1.1300163000000019	1.725	0.0	0.0	0.0	0.0	0.0	1.25
8.638758	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	1.2875411500000022	1.525	0.0	0.0	0.0	0.0	0.0	1.25
8.758841	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	1.490218675000002	1.625	0.0	0.0	0.0	0.0	0.0	1.25
8.85905	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	1.6575529500000008	1.5625	0.0	0.0	0.0	0.0	0.0	1.25
8.958948	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	1.8191010000000016	1.5625	0.0	0.0	0.0	0.0	0.0	1.25
9.05861	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	1.9800343500000022	1.375	0.0	0.0	0.0	0.0	0.0	1.25
9.158358	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	2.140210200000004	1.7875	0.0	0.0	0.0	0.0	0.0	1.25
9.256035	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	2.2985655750000022	1.625	0.0	0.0	0.0	0.0	0.0	1.25
9.35085	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	2.4502553625000036	1.7625	0.0	0.0	0.0	0.0	0.0	1.25
9.45885	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	2.6238036500000033	1.6625	0.0	0.0	0.0	0.0	0.0	1.25
9.558004	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	2.7827037500000045	1.5875	0.0	0.0	0.0	0.0	0.0	1.25
9.641453	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	2.923983812500003	1.7875	0.0	0.0	0.0	0.0	0.0	1.25
9.764722	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	3.114706225000006	1.7	0.0	0.0	0.0	0.0	0.0	1.25
9.855134	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	3.260672925000004	1.6125	0.0	0.0	0.0	0.0	0.0	1.25
9.938013	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	3.3901028625000067	1.675	0.0	0.0	0.0	0.0	0.0	1.25
10.070205	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	3.6046883000000047	1.7875	0.0	0.0	0.0	0.0	0.0	1.25
10.14246	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	3.718305600000007	1.575	0.0	0.0	0.0	0.0	0.0	1.25
10.248356	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	3.8842499500000054	1.575	0.0	0.0	0.0	0.0	0.0	1.25
10.367196	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	4.084292037500008	1.6375	0.0	0.0	0.0	0.0	0.0	1.25
10.446425	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	4.213546575000007	1.675	0.0	0.0	0.0	0.0	0.0	1.25
10.566196	0.0	0.0	0.0	0.0	0.0	0.0	0.75	2.25	0.875	0.5	1.125	0.25	N/A	N/A	4.4002550375000045	1.7125	0.0	0.0	0.0	0.0	0.0	1.25
